"","likeCount","Comments","Author"
"1","0","rick lu anak hasil kondom bocor ya","Whiskey FJ"
"2","0","kakak itu sokpede","Nafida 0712"
"3","0","gg bang slow gw sub kontol eenak","rafi ahmad"
"4","0","apa di tangan mu tatu","Rosli Ishak"
"5","0","muka lo ekk anjing gue rugi nonton youtube lo anjing","Dean Dea"
"6","0","gw suka gaya lu anjing haha hibur bedd wkwkwkw kontol ahaha","aqil sandie"
"7","0","mantapp bang erickkkkkaha hibur bedd wkwkwkw kontol ahaha","Rakhaaa S6"
"8","1","buat haters lo semua gosah sok sokan ngerti video erickolim kalo gk suka ngapain ditonton semudah itu anjinkkkkkk eriko juga gk maksa nonton video dia kalo suka ya alhamdulilah klo gk suka ya yaudah gak apa apa eriko juga gak maksa njinkkkkk","Aditzzeux Fx"
"9","0","subcribe cuma segitu doang kalah am atta","van Yuda"
"10","0","eriko kayak memek asu anjing cuiiihhh babi kontol lu kecil","van Yuda"
"11","0","bang collab ma bang leokoce v","Dewi Lesta"
"12","0","tapi gw ngakak nonton ericko lim walaupun toxic mantap dah rik","Fidel Junior"
"14","0","hahaahaha haters kontol tuh bng ricko lim 
lanjut aja bng ricko gua suport lu bnonton semudah itu anjinkkkkkk eriko juga gk maksa nonton video dia kalo suka ya alhamdulilah klo gk suka ya yaudah gak apa apa eriko juga gak maksa njinkkkkk","dahny tawel"
"15","0","haters konten
konten adsense
masih ngalirrrrr","Bang RA Gaming"
"16","0","sok iya banget lu anjeng lu bikin vidio gak ada faedahnya yg gak pantes ditonto bahasa lu babi nyesel kali emak lo lahirin lo dari memek harusnya dari silit lo goblok","Eza Maullana"
"17","0","babi banget yakan ni vidio gak pntg bgt goblok lu buka sifat asli lu kek apa yakan org yg subscribe lu itu iseng subcribe trus keluar babi goblok banget mnding ngaca aja muka lu kek kontol anjin","Eza Maullana"
"18","0","gua suka bngt sma konten luu bang","ADONARA BOYZZ"
"19","0","hahahahah","Yukihira Shiro"
